headline,url
,/us-news/2023/dec/13/biden-impeachment-house-vote-republicans
BidenImpeachment inquiry ‘a baseless political stunt’,/us-news/2023/dec/13/biden-impeachment-inquiry-house-republicans-democrats
,/world/live/2023/dec/13/israel-gaza-war-hamas-live-updates-news-un-ceasefire-hostages-us-israel-relations-palestine
‘Living hell’ Gaza conditions deteriorate after heavy rains,/world/2023/dec/13/gaza-a-living-hell-after-heavy-winter-rains-drench-makeshift-tents
,/us-news/2023/dec/13/trump-2020-election-interference-case-pause-tanya-chutkan
Supreme courtJustices to hear January 6 appeal affecting Trump trial,/law/2023/dec/13/us-supreme-court-jan-6-appeal-obstruction-biden-trump
Clarence ThomasJustice pressured to recuse himself from Trump case,/us-news/2023/dec/13/clarence-thomas-trump-immunity-case-conflict-of-interest
New YorkTrump immunity claim rejected in Jean E Carroll lawsuit,/us-news/2023/dec/13/trump-immunity-rejected-e-carroll-defamation-lawsuit
,/sport/2023/dec/13/nba-golden-state-warriors-draymond-green-suspension
,/us-news/2023/dec/13/rudy-giuliani-defamation-trial-georgia-third-day
,/us-news/2023/dec/13/samantha-woll-detroit-synagogue-leader-murder-charge
,/business/2023/dec/13/federal-interest-rates-us-inflation
,/us-news/2023/dec/13/protesters-block-los-angeles-highway-gaza-ceasefire
,/business/2023/dec/13/etsy-layoffs-online-business-retail-industry
,/technology/2023/dec/13/openai-axel-springer-chatgpt-story-writing-business-insider-politico
,/food/2023/dec/13/us-congress-milk-bill-school-kids
