headline,url
'Mountainsides just collapsed’  Pacific north-west grapples with catastrophic floods ,https://www.theguardian.com/world/2021/nov/17/pacific-north-west-floods-storm-british-columbia-washington-state
Live Trudeau deploys air force to ‘terrifically bad situation’,https://www.theguardian.com/world/live/2021/nov/17/canada-floods-vancouver-british-columbia-weather-pacific-north-west-latest-updates
Explainer How bad is the Pacific north-west flooding?,https://www.theguardian.com/environment/2021/nov/17/pacific-north-west-flooding-british-columbia-washington-state-canada
Extreme weather What are atmospheric rivers?,https://www.theguardian.com/world/2021/nov/17/what-are-atmospheric-rivers
Live Trudeau deploys air force to ‘terrifically bad situation’,https://www.theguardian.com/world/live/2021/nov/17/canada-floods-vancouver-british-columbia-weather-pacific-north-west-latest-updates
Explainer How bad is the Pacific north-west flooding?,https://www.theguardian.com/environment/2021/nov/17/pacific-north-west-flooding-british-columbia-washington-state-canada
Extreme weather What are atmospheric rivers?,https://www.theguardian.com/world/2021/nov/17/what-are-atmospheric-rivers
Pacific north-west grapples with catastrophic floods,https://www.theguardian.com/world/2021/nov/17/pacific-north-west-floods-storm-british-columbia-washington-state
US Capitol attack  Rioter who wore horned headdress sentenced to 41 months ,https://www.theguardian.com/us-news/2021/nov/17/qanon-shaman-jacob-chansley-sentenced-capitol-attack-role
Steve Bannon  Trump ally pleads not guilty to criminal contempt,https://www.theguardian.com/us-news/2021/nov/17/steve-bannon-pleads-not-guilty-contempt-congress
Steve Bannon  Trump ally pleads not guilty to criminal contempt,https://www.theguardian.com/us-news/2021/nov/17/steve-bannon-pleads-not-guilty-contempt-congress
Rioter who wore horned headdress sentenced to 41 months,https://www.theguardian.com/us-news/2021/nov/17/qanon-shaman-jacob-chansley-sentenced-capitol-attack-role
‘Inciting violence begets violence’  Paul Gosar censured over video aimed at AOC ,https://www.theguardian.com/us-news/2021/nov/17/house-censures-paul-gosar-violent-video-against-aoc
Paul Gosar censured over video aimed at AOC,https://www.theguardian.com/us-news/2021/nov/17/house-censures-paul-gosar-violent-video-against-aoc
National Book awards  Jason Mott wins US literary prize for ‘masterful’ novel Hell of a Book ,https://www.theguardian.com/books/2021/nov/18/national-book-awards-jason-mott-wins-us-literary-prize-for-masterful-novel-hell-of-a-book
Jason Mott wins US literary prize for ‘masterful’ novel Hell of a Book,https://www.theguardian.com/books/2021/nov/18/national-book-awards-jason-mott-wins-us-literary-prize-for-masterful-novel-hell-of-a-book
Kyle Rittenhouse trial  Defense attorneys ask judge to declare mistrial over video ,https://www.theguardian.com/us-news/2021/nov/17/kyle-rittenhouse-trial-mistrial-defense-attorneys-video
Defense attorneys ask judge to declare mistrial over video,https://www.theguardian.com/us-news/2021/nov/17/kyle-rittenhouse-trial-mistrial-defense-attorneys-video
"Coronavirus  Mask-wearing cuts incidence by 53%, says global study ",https://www.theguardian.com/world/2021/nov/17/wearing-masks-single-most-effective-way-to-tackle-covid-study-finds
"Mask-wearing cuts incidence by 53%, says global study",https://www.theguardian.com/world/2021/nov/17/wearing-masks-single-most-effective-way-to-tackle-covid-study-finds
Rupert Murdoch  Fox News boss says Trump should stop focusing ‘on the past’ in rare rebuke ,https://www.theguardian.com/media/2021/nov/17/rupert-murdoch-donald-trump-stop-focusing-on-the-past
Fox News boss says Trump should stop focusing ‘on the past’ in rare rebuke,https://www.theguardian.com/media/2021/nov/17/rupert-murdoch-donald-trump-stop-focusing-on-the-past
'Extremely unfortunate'  Japan and South Korea ministers abandon Washington press event amid island row ,https://www.theguardian.com/world/2021/nov/18/japan-and-south-korea-ministers-abandon-washington-press-event-amid-island-row
Japan and South Korea ministers abandon Washington press event amid island row,https://www.theguardian.com/world/2021/nov/18/japan-and-south-korea-ministers-abandon-washington-press-event-amid-island-row
Rust film set shooting  Script supervisor sues Alec Baldwin and producers over shooting ,https://www.theguardian.com/us-news/2021/nov/17/rust-film-shooting-alec-baldwin-lawsuit-mamie-mitchell
Script supervisor sues Alec Baldwin and producers over shooting,https://www.theguardian.com/us-news/2021/nov/17/rust-film-shooting-alec-baldwin-lawsuit-mamie-mitchell
Rap  Young Dolph shot and killed at age 36 in Memphis ,https://www.theguardian.com/music/2021/nov/17/young-dolph-rapper-shot-killed
Young Dolph shot and killed at age 36 in Memphis,https://www.theguardian.com/music/2021/nov/17/young-dolph-rapper-shot-killed
